ID	time	temperature	type	weight	concentration	fishweight	fishweightloss	percentage	labels
1	672	room	tissue	11.6	3.52	6.43	2.45	38.10264386	3
2	672	room	tissue	11.4	1.14	4.07	1.55	38.08353808	2
3	672	room	tissue	12.4	58.8	4.6	1.88	40.86956522	2
4	672	room	tissue	11.4	36.6	5.75	2.39	41.56521739	2
5	672	fridge	tissue	16	1.27	5.39	2.01	37.29128015	2
6	672	fridge	tissue	10.5	11.4	3.91	1.51	38.61892583	1
7	672	fridge	tissue	20.5	57	8.45	2.9	34.31952663	4
8	672	fridge	tissue	11.1	28.4	3.44	1.13	32.84883721	1
9	336	room	tissue	17.3	1.99	6.81	NA	NA	3
10	336	room	tissue	19.7	27.6	5.52	NA	NA	2
11	336	room	tissue	6.7	22.7	7.56	2.15	28.43915344	3
12	336	room	tissue	14.7	0.112	2.83	1.07	37.80918728	1
13	336	fridge	tissue	13.3	48	7.77	1.7	21.87902188	3
14	336	fridge	tissue	17.3	0.234	3.71	1.28	34.50134771	2
15	336	fridge	tissue	6.8	9.52	5.94	1.6	26.93602694	2
16	336	fridge	tissue	13.7	6.12	6.04	2.03	33.60927152	3
17	168	room	tissue	7.1	1.48	5.6	NA	NA	2
18	168	room	tissue	6.7	1.76	6.58	NA	NA	3
19	168	room	tissue	12.7	0.774	4.49	NA	NA	2
20	168	room	tissue	9.8	68.2	4.23	NA	NA	2
21	168	fridge	tissue	16.1	128	4.47	NA	NA	2
22	168	fridge	tissue	19.4	26.8	5.34	NA	NA	2
23	168	fridge	tissue	10.9	27.2	3.93	NA	NA	1
24	168	fridge	tissue	8.2	15	6.94	NA	NA	3
25	72	room	tissue	10.9	25.6	6.71	2.46	36.66169896	3
26	72	room	tissue	11.9	13.1	5.87	2.53	43.10051107	2
27	72	room	tissue	11.5	18.6	4.74	1.89	39.87341772	2
28	72	room	tissue	14.7	38	5.99	2.46	41.06844741	2
29	72	fridge	tissue	14.3	5.86	6.18	2.18	35.27508091	3
30	72	fridge	tissue	20.7	103	9.23	3.16	34.23618635	4
31	72	fridge	tissue	11.8	21.8	8.51	2.25	26.43948296	4
32	72	fridge	tissue	13.9	41.6	7.44	2.68	36.02150538	3
33	24	room	tissue	14	2.58	6.94	2.8	40.34582133	3
34	24	room	tissue	17.4	44.1	8.09	3.1	38.31891224	4
35	24	room	tissue	15.3	0.716	5.29	1.03	19.47069943	2
36	24	room	tissue	14.2	4.18	6.32	2.55	40.34810127	3
37	24	fridge	tissue	16.9	9.12	6.56	1.97	30.0304878	3
38	24	fridge	tissue	9.1	5.52	4.41	1.35	30.6122449	2
39	24	fridge	tissue	9.7	11	4.12	0.58	14.0776699	2
40	24	fridge	tissue	13.2	59	6.67	0.92	13.79310345	3
