ID	time	temperature	type	concentration
1	672	room	filter	1.14
2	672	room	filter	1.99
3	672	room	filter	28.4
4	672	room	filter	3.52
5	672	fridge	filter	1.27
6	672	fridge	filter	36.6
7	672	fridge	filter	9.52
8	672	fridge	filter	11.4
9	336	room	filter	38
10	336	room	filter	41.6
11	336	room	filter	5.86
12	336	room	filter	27.2
13	336	fridge	filter	0.716
14	336	fridge	filter	4.18
15	336	fridge	filter	1.76
16	336	fridge	filter	5.52
17	168	room	filter	58.8
18	168	room	filter	128
19	168	room	filter	21.8
20	168	room	filter	6.12
21	168	fridge	filter	2.58
22	168	fridge	filter	0.234
23	168	fridge	filter	44.1
24	168	fridge	filter	59
25	72	room	filter	68.2
26	72	room	filter	13.1
27	72	room	filter	15
28	72	room	filter	1.48
29	72	fridge	filter	57
30	72	fridge	filter	0.112
31	72	fridge	filter	9.12
32	72	fridge	filter	0.774
33	24	room	filter	26.8
34	24	room	filter	48
35	24	room	filter	22.7
36	24	room	filter	27.6
37	24	fridge	filter	25.6
38	24	fridge	filter	103
39	24	fridge	filter	18.6
40	24	fridge	filter	11
1	672	room	tissue	25.9649
2	672	room	tissue	37.6879
3	672	room	tissue	58.3784
4	672	room	tissue	14.9138
5	672	fridge	tissue	31.25
6	672	fridge	tissue	37.7193
7	672	fridge	tissue	115
8	672	fridge	tissue	48.5714
9	336	room	tissue	154.4218
10	336	room	tissue	200
11	336	room	tissue	161.5385
12	336	room	tissue	161.4679
13	336	fridge	tissue	213.7255
14	336	fridge	tissue	233.0986
15	336	fridge	tissue	155.2239
16	336	fridge	tissue	369.2308
17	168	room	tissue	29.5161
18	168	room	tissue	69.5652
19	168	room	tissue	214.4068
20	168	room	tissue	59.4161
21	168	fridge	tissue	215.7143
22	168	fridge	tissue	44.5087
23	168	fridge	tissue	177.0115
24	168	fridge	tissue	317.4242
25	72	room	tissue	114.2857
26	72	room	tissue	169.7479
27	72	room	tissue	228.0488
28	72	room	tissue	143.662
29	72	fridge	tissue	30.6341
30	72	fridge	tissue	49.3878
31	72	fridge	tissue	197.0414
32	72	fridge	tissue	88.189
33	24	room	tissue	60.8247
34	24	room	tissue	56.6917
35	24	room	tissue	105.9701
36	24	room	tissue	33.8071
37	24	fridge	tissue	171.5596
38	24	fridge	tissue	120.2899
39	24	fridge	tissue	176.5217
40	24	fridge	tissue	389.6907
