ID	time	temperature	type	concentration
1	672	room	filter	1.14
2	672	room	filter	1.99
3	672	room	filter	28.4
4	672	room	filter	3.52
5	672	fridge	filter	1.27
6	672	fridge	filter	36.6
7	672	fridge	filter	9.52
8	672	fridge	filter	11.4
9	336	room	filter	38
10	336	room	filter	41.6
11	336	room	filter	5.86
12	336	room	filter	27.2
13	336	fridge	filter	0.716
14	336	fridge	filter	4.18
15	336	fridge	filter	1.76
16	336	fridge	filter	5.52
17	168	room	filter	58.8
18	168	room	filter	128
19	168	room	filter	21.8
20	168	room	filter	6.12
21	168	fridge	filter	2.58
22	168	fridge	filter	0.234
23	168	fridge	filter	44.1
24	168	fridge	filter	59
25	72	room	filter	68.2
26	72	room	filter	13.1
27	72	room	filter	15
28	72	room	filter	1.48
29	72	fridge	filter	57
30	72	fridge	filter	0.112
31	72	fridge	filter	9.12
32	72	fridge	filter	0.774
33	24	room	filter	26.8
34	24	room	filter	48
35	24	room	filter	22.7
36	24	room	filter	27.6
37	24	fridge	filter	25.6
38	24	fridge	filter	103
39	24	fridge	filter	18.6
40	24	fridge	filter	11
1	672	room	tissue	29.6
2	672	room	tissue	65.2
3	672	room	tissue	64.8
4	672	room	tissue	17.3
5	672	fridge	tissue	50
6	672	fridge	tissue	43
7	672	fridge	tissue	78.2
8	672	fridge	tissue	51
9	336	room	tissue	227
10	336	room	tissue	278
11	336	room	tissue	231
12	336	room	tissue	176
13	336	fridge	tissue	327
14	336	fridge	tissue	331
15	336	fridge	tissue	104
16	336	fridge	tissue	336
17	168	room	tissue	36.6
18	168	room	tissue	112
19	168	room	tissue	253
20	168	room	tissue	81.4
21	168	fridge	tissue	302
22	168	fridge	tissue	77
23	168	fridge	tissue	308
24	168	fridge	tissue	419
25	72	room	tissue	112
26	72	room	tissue	202
27	72	room	tissue	187
28	72	room	tissue	102
29	72	fridge	tissue	62.8
30	72	fridge	tissue	72.6
31	72	fridge	tissue	333
32	72	fridge	tissue	112
33	24	room	tissue	118
34	24	room	tissue	75.4
35	24	room	tissue	71
36	24	room	tissue	66.6
37	24	fridge	tissue	187
38	24	fridge	tissue	249
39	24	fridge	tissue	203
40	24	fridge	tissue	378
